,0
cal__doy_sin,632
atm__theta700_minus_theta850,617
cal__doy_cos,602
atm__theta500_minus_theta700,602
gfs__isobaricInhPa_500_t__std,567
ldaps_spatial__idw__wind5_speed__batch_mean,554
gfs__heightAboveGround_2_2d__std,549
day_of_year,542
gfs__heightAboveGround_2_2r__std,541
ldaps__heightAboveGround_2_dpt__std,515
ldaps_spatial__idw__etc_0_blh__d-1,506
gfs__wind850_speed__std,504
gfs__isobaricInhPa_850_t__std,499
gfs__meanSea_0_prmsl__std,493
ldaps__heightAboveGround_2_t__std,493
gfs__wind850_speed__mean__d1,490
gfs__heightAboveGround_2_2sh__std,476
gfs__isobaricInhPa_700_t__std,472
gfs__wind700_speed__std,468
ldaps_spatial__idw__wind5_speed__d-1,464
gfs__wind850_speed__mean__d-1,460
gfs__wind500_speed__std,451
gfs__wind850_speed__mean__d-3,450
gfs__atmosphere_0_tcc__std,449
ldaps_spatial__idw__wind5_dir_cos,449
ldaps_spatial__idw__wind5_speed__d-2,447
ldaps_spatial__idw__wind50max_dir_sin__d3,446
gfs_spatial__idw__wind100_dir_sin__d1,443
gfs_spatial__idw__wind100_dir_sin__d-1,442
gfs_spatial__idw__wind100_dir_sin__lag-6,440
ldaps_spatial__idw__wind5_speed__d1,438
ldaps_spatial__idw__etc_0_blh__lag-6,436
gfs_spatial__idw__wind100_dir_cos__d3,435
gfs__atmosphere_0_tcc__mean,430
gfs_spatial__idw__wind100_dir_sin__d-3,428
ldaps_spatial__idw__wind50max_dir_sin__d1,427
ldaps_spatial__idw__wind50max_dir_sin__d-2,426
gfs_spatial__idw__wind100_dir_sin__d2,426
ldaps_spatial__idw__wind50max_dir_sin__d-1,426
ldaps__wind50min_speed__std,424
ldaps_spatial__idw__wind10_speed__d-3,423
gfs__wind850_speed__mean__d3,420
ldaps_spatial__idw__wind50min_speed__d-1,420
ldaps_spatial__idw__wind50max_dir_cos__d3,420
gfs_spatial__idw__wind100_dir_cos__d-1,416
ldaps__wind10_speed__std,415
ldaps__etc_0_blh__std,415
ldaps__heightAboveGround_2_q__std,414
ldaps_spatial__idw__wind50max_dir_sin__lag6,414
ldaps_spatial__idw__wind5_speed__lag6,413
atm__lapse_2m_850,413
gfs_spatial__idw__wind100_dir_cos__d1,407
gfs__wind850_speed__mean__d-2,406
phys__hub117_speed__d1,406
ldaps__wind50max_speed__std,405
ldaps__wind5_speed__std,404
gfs_spatial__idw__wind100_dir_cos__d-2,404
ldaps_spatial__idw__wind5_speed__d-3,403
ldaps_spatial__idw__wind5_speed__batch_anom,399
gfs_spatial__idw__wind100_dir_sin__d-2,398
