,0
atm__theta700_minus_theta850,319
ldaps_spatial__idw__wind5_speed__batch_mean,302
atm__theta500_minus_theta700,293
cal__doy_sin,290
day_of_year,257
gfs__heightAboveGround_2_2r__std,250
gfs__wind850_speed__std,247
ldaps_spatial__idw__wind5_dir_cos,243
cal__doy_cos,239
gfs__isobaricInhPa_850_t__std,233
gfs__meanSea_0_prmsl__std,233
gfs__isobaricInhPa_500_t__std,231
ldaps__heightAboveGround_2_dpt__std,229
ldaps__wind50max_speed__std,227
gfs__wind850_speed__mean__d1,225
gfs__wind850_speed__mean__d-3,220
gfs__wind700_speed__std,216
ldaps_spatial__idw__heightAboveGround_2_t__lag6,215
gfs__atmosphere_0_tcc__std,214
gfs__heightAboveGround_2_2d__std,213
gfs__isobaricInhPa_500_t__mean,207
gfs__isobaricInhPa_500_gh__mean,205
ldaps__surface_0_sp__mean,205
gfs_spatial__idw__wind100_dir_cos__lag-2,203
gfs_spatial__idw__wind100_dir_cos__lag-1,198
ldaps_spatial__idw__heightAboveGround_2_t__d-3,198
phys__hub117_speed__batch_mean,195
gfs__wind850_speed__mean__d3,195
source_disagreement__surface_pressure_idw,194
ldaps__heightAboveGround_2_t__std,194
gfs__wind850_speed__mean__lag-6,191
ldaps_spatial__idw__wind50max_dir_cos__lag-6,190
ldaps_spatial__idw__heightAboveGround_2_t__lag-6,190
ldaps__meanSea_0_prmsl__std,190
gfs__isobaricInhPa_500_gh__std,189
gfs__wind10_speed__std,186
ldaps_spatial__idw__wind5_speed__lag6,186
ldaps_spatial__idw__etc_0_blh__lag-6,186
gfs__wind850_speed__q50,185
gfs__wind850_speed__mean__d-1,185
gfs_spatial__idw__wind100_dir_sin__lag-6,185
ldaps_spatial__idw__etc_0_blh__lag3,184
gfs__wind80_speed__std,183
ldaps__wind50min_speed__std,182
gfs__wind500_speed__std,181
gfs_spatial__idw__wind10_speed__batch_mean,180
gfs_spatial__idw__wind100_dir_cos__lag-3,179
gfs__isobaricInhPa_700_t__std,179
gfs_spatial__idw__surface_0_sp,179
gfs__wind850_speed__mean__d2,178
ldaps_spatial__idw__wind5_speed__d-3,177
ldaps_spatial__idw__wind50max_dir_sin__lag6,177
gfs__wind850_speed__mean__lag6,176
ldaps_spatial__idw__wind50max_dir_cos__d3,176
ldaps_spatial__idw__wind5_speed__d3,176
ldaps__meanSea_0_prmsl__mean,175
ldaps_spatial__idw__heightAboveGround_2_t__d-1,173
gfs_spatial__idw__wind100_dir_sin__d-1,172
gfs__surface_0_sp__std,172
gfs__wind700_speed__q10,172
ldaps_spatial__idw__wind50max_speed__batch_mean,171
gfs__wind850_speed__mean__d-2,171
ldaps_spatial__idw__wind5_speed__batch_anom,171
gfs__wind850_speed__mean__lag1,170
gfs_spatial__idw__wind100_dir_sin__d3,170
ldaps_spatial__idw__etc_0_blh__lag2,170
gfs_spatial__idw__wind100_dir_cos__d3,170
gfs__heightAboveGround_2_2t__std,169
ldaps_spatial__idw__wind50max_speed__batch_anom,169
atm__lapse_2m_850,167
gfs_spatial__idw__wind100_dir_cos__lag-6,167
ldaps_spatial__idw__wind5_speed__lag-6,167
ldaps_spatial__idw__heightAboveGround_2_t__d1,166
gfs__heightAboveGround_2_2sh__std,165
ldaps_spatial__idw__heightAboveGround_2_t__d-2,165
ldaps_spatial__idw__heightAboveGround_2_t__d3,165
ldaps_spatial__idw__surface_0_sp,165
ldaps_spatial__idw__wind5_speed__d1,165
gfs_spatial__idw__wind100_dir_sin__lag1,164
ldaps_spatial__idw__wind50max_dir_cos__d-3,164
