,0
ldaps_spatial__idw__wind5_speed__d-1,403
ldaps__wind50max_speed__q90,382
gfs__wind850_speed__std,376
ldaps__meanSea_0_prmsl__std,361
gfs__isobaricInhPa_700_t__std,359
gfs__wind850_speed__mean__d-1,353
ldaps_spatial__idw__wind50min_speed__lag2,341
ldaps__wind10_speed__std,327
ldaps__wind10_speed__q90,319
gfs__wind850_speed__mean__lag3,316
ldaps__wind5_speed__std,312
ldaps_spatial__idw__wind10_speed__d1,310
ldaps_spatial__idw__wind10_speed__lag-1,310
gfs__wind850_speed__mean__lag2,307
gfs__wind850_speed__mean__lag1,305
ldaps_spatial__idw__wind50min_speed__lag3,303
ldaps_spatial__idw__wind10_speed__lag2,296
ldaps__wind50min_speed__q90,295
gfs_spatial__idw__surface_0_gust__d1,293
gfs__wind500_speed__std,289
gfs__isobaricInhPa_850_t__std,285
gfs__wind700_speed__std,284
gfs__wind850_speed__mean__d1,282
gfs_spatial__idw__surface_0_gust__d-1,280
ldaps_spatial__idw__wind5_speed__d1,277
gfs__wind850_speed__q10,276
gfs__wind700_speed__q90,275
ldaps_spatial__idw__wind5_speed__batch_anom,272
ldaps__heightAboveGround_2_dpt__std,271
gfs__wind850_speed__mean__d-3,268
ldaps__wind50max_speed__std,268
ldaps_spatial__idw__wind50max_speed__d1,267
gfs__wind850_speed__q90,265
gfs__isobaricInhPa_500_t__std,264
ldaps_spatial__idw__wind50min_speed__lag1,259
gfs__wind850_speed__mean__lag-1,258
gfs__atmosphere_0_tcc__std,254
gfs_spatial__idw__wind100_dir_sin__d2,251
ldaps_spatial__idw__wind5_speed__d-2,250
gfs_spatial__idw__surface_0_gust__d-2,250
gfs__wind850_speed__q50,249
ldaps_spatial__idw__wind10_speed__d2,246
ldaps_spatial__idw__wind10_speed__lag-2,245
phys_v2__shear_alpha_100_80,245
ldaps_spatial__idw__wind50min_speed__d1,240
ldaps_spatial__idw__wind10_speed__lag1,240
ldaps_spatial__idw__wind50max_dir_sin__d1,239
ldaps_spatial__idw__wind5_speed__d2,238
atm__bulk_richardson_proxy,238
ldaps_spatial__idw__wind50min_speed__lag-1,238
atm__lapse_2m_850,237
gfs_spatial__idw__wind100_dir_sin__d1,235
phys__hub117_speed__d1,233
gfs__wind850_speed__mean__d2,232
ldaps__etc_0_blh__std,232
ldaps_spatial__idw__wind50max_dir_cos__d1,231
gfs_spatial__idw__wind100_dir_cos__d-1,231
ldaps_spatial__idw__wind5_speed__lag-2,231
gfs__isobaricInhPa_500_gh__mean,229
gfs__wind850_speed__mean__lag-3,229
