,0
ldaps__wind10_speed__std,229
gfs__wind850_speed__mean__lag3,207
ldaps__wind50max_speed__std,186
gfs__wind850_speed__mean__lag-1,184
gfs__wind850_speed__mean__lag2,177
gfs__wind850_speed__q10,177
atm__lapse_2m_850,174
gfs__wind850_speed__mean__d1,166
ldaps__wind50min_speed__std,161
gfs__wind850_speed__mean,160
gfs__wind850_speed__std,156
gfs__wind850_speed__mean__lag-3,154
ldaps_spatial__idw__wind5_speed__d2,154
gfs__wind850_speed__q50,152
gfs__wind850_speed__mean__lag1,150
gfs__wind850_speed__q90,148
gfs_spatial__idw__wind100_dir_cos__lag-1,146
gfs__wind850_speed__mean__d-1,136
atm__bulk_richardson_proxy,136
ldaps__meanSea_0_prmsl__std,134
atm__theta850_minus_t2,133
gfs__isobaricInhPa_700_t__std,132
atm__w50_envelope,128
gfs_spatial__idw__wind100_dir_cos__lag-6,128
gfs__wind850_speed__mean__d3,125
gfs_spatial__idw__surface_0_gust__d1,124
ldaps_spatial__idw__wind10_speed__lag-3,122
ldaps__heightAboveGround_2_dpt__std,121
atm__vrate_per_wind,121
gfs__wind500_speed__std,120
gfs__isobaricInhPa_500_t__std,120
gfs_spatial__idw__wind100_dir_sin__lag2,119
ldaps_spatial__idw__wind5_speed__d-3,118
gfs_spatial__idw__heightAboveGround_10_10u,118
gfs__wind850_speed__mean__lag-2,115
ldaps__wind50max_speed__q90,114
ldaps_spatial__idw__wind50max_speed__lag-2,114
gfs_spatial__idw__wind100_dir_sin__d-1,113
ldaps_spatial__idw__wind5_speed__lag-1,113
gfs_spatial__idw__wind10_speed__lag-3,112
ldaps_spatial__idw__wind5_speed__lag-2,111
gfs__heightAboveGround_2_2t__std,111
gfs_spatial__idw__surface_0_gust__d-2,110
gfs__meanSea_0_prmsl__std,110
gfs_spatial__idw__surface_0_gust__d2,109
gfs__wind850_speed__mean__d-3,109
ldaps__heightAboveGround_2_t__std,108
ldaps_spatial__idw__wind5_speed__d1,108
ldaps__wind50max_speed__mean__lag-6,108
ldaps_spatial__idw__wind5_speed__d-1,105
ldaps_spatial__idw__surface_0_sp,105
ldaps_spatial__idw__wind50min_speed__lag-2,104
atm__w80_w10_ratio,104
gfs_spatial__idw__surface_0_gust__d-1,104
gfs__isobaricInhPa_850_t__std,103
ldaps_spatial__idw__wind50min_speed__d1,102
atm__alpha_100_80,101
ldaps__wind50max_speed__mean__lag-1,100
atm__hub_disagree,100
gfs__wind850_speed__mean__lag6,100
gfs__wind700_speed__std,100
gfs__wind700_speed__q10,99
ldaps_spatial__idw__wind50max_speed__lag-3,98
ldaps_spatial__idw__wind50max_speed__lag-1,98
gfs__isobaricInhPa_500_gh__mean,97
gfs__wind850_speed__mean__d2,97
ldaps_spatial__idw__wind10_speed__d1,97
ldaps__wind5_speed__std,97
ldaps_spatial__idw__wind5_speed__d-2,96
gfs__atmosphere_0_tcc__std,95
ldaps_spatial__idw__wind5_dir_cos,95
ldaps_spatial__idw__wind50max_speed__d2,94
gfs_spatial__idw__wind100_dir_cos__lag-3,94
gfs_spatial__idw__wind100_dir_cos__lag-2,94
ldaps_spatial__idw__wind50max_speed__lag1,93
atm__w50max_w10_ratio,93
gfs_spatial__idw__wind100_dir_sin__lag6,93
gfs__wind850_speed__mean__lag-6,92
gfs_spatial__idw__surface_0_gust__d-3,91
ldaps_spatial__idw__wind50max_speed__lag3,91
