rank,team,total,nmae,ficr,subs,when,resid,prem_vs_ours
81,튀김만두,0.65268,0.86777,0.43759,96,20시간 전,0.004112146477647294,0.0015443499999998056
82,누욱비,0.65231,0.87422,0.4304,56,4일 전,-0.008311819141027965,-0.019900150000000116
83,DIPL,0.6523,0.87238,0.43221,55,18일 전,-0.005008718871514439,-0.014023750000000224
84,이주훈,0.65228,0.87331,0.43125,53,2일 전,-0.006723383681649042,-0.017039050000000167
85,lde22,0.65224,0.87575,0.42873,41,5일 전,-0.011223364473830044,-0.024951450000000153
86,Stay,0.65221,0.87184,0.43257,139,31분 전,-0.0042105264011136345,-0.012470349999999963
87,알아서해라,0.65217,0.87164,0.4327,25,2일 전,-0.00391823289355786,-0.011898350000000057
88,roykim2006,0.65213,0.87259,0.43168,99,2시간 전,-0.005709127054447982,-0.015017850000000055
89,u.jin_h,0.65213,0.87455,0.42971,71,2일 전,-0.009269603428495199,-0.02131945000000024
90,풍,0.65209,0.87312,0.43106,102,한 시간 전,-0.006759204849471012,-0.016809150000000106
91,GPT의근성통계,0.65198,0.87356,0.4304,127,5일 전,-0.0077762505660937675,-0.018441550000000084
92,푹신푹신침대,0.65195,0.87131,0.43258,79,2일 전,-0.003770448606090715,-0.011289050000000134
93,RIS,0.65194,0.87343,0.43046,100,18시간 전,-0.007610759786182475,-0.0180942500000002
94,haun,0.65165,0.87201,0.43129,123,한 시간 전,-0.005628475882536066,-0.014126050000000001
95,억도리,0.6515,0.87635,0.42665,23,9일 전,-0.013790244996497503,-0.028357450000000062
96,dodvdido,0.65129,0.8721,0.43048,110,6시간 전,-0.006511507960936247,-0.015134950000000091
97,25학번입니당,0.65122,0.87483,0.42762,12,4일 전,-0.01158681433907327,-0.024028250000000084
98,seung9,0.65117,0.87229,0.43006,26,16일 전,-0.007085686793114276,-0.015974850000000096
99,진욱,0.65103,0.87352,0.42854,109,5일 전,-0.009603791864582656,-0.02021315000000007
100,BLUEE,0.65096,0.87336,0.42855,85,5일 전,-0.009463957058537975,-0.01984955000000016
